电影名称（中文）,电影名称（英文）,排名,年份,评分,导演,主要演员,类型,国家/地区,语言,时长,热门评论
末代皇帝,The Last Emperor,No.27,1987,9.3,贝纳尔多·贝托鲁奇,尊龙 / 陈冲 / 邬君梅 / 彼得·奥图尔 / 英若诚 / 吴涛 / 黄自强 / 丹尼斯·邓 / 坂本龙一 / 马吉·汉 / 里克·扬 / 田川洋行 / 苟杰德 / 理查德·吴 / 皱缇格 / 陈凯歌 / 卢燕 / 区亨利 / 陈述 / 鲍皓昕 / 黄文捷 / 邵茹贞 / 亨利·基 / 张良斌 / 梁冬 / 康斯坦丁·格雷戈里 / 黄汉琪 / 王涛 / 宋怀桂 / 蔡鸿翔 / 程淑艳 / 张天民,剧情/传记/历史, 英国 / 意大利 / 中国大陆 / 法国, 英语 / 汉语普通话 / 日语,163分钟,他痛哭流涕追阿毛、失魂落魄追婉容，但始终追不回那昔日辉煌的时代。他反抗太监偷窃文物、反抗日本傀儡操控，但终究反抗不了自己跌宕唏嘘的命运。他做了一辈子囚徒，在紫禁城在满洲国在抚顺管教所。终于买了张观光票，在赤色余晖中蹒跚进入太和殿。须臾一世，只有那皇座下藏着的蟋蟀，还认得他是帝王。
喜剧之王,喜劇之王,No.89,1999,8.8,周星驰 / 李力持,周星驰 / 张柏芝 / 莫文蔚 / 吴孟达 / 林子善 / 田启文 / 李兆基 / 成龙 / 李思捷 / 郑文辉,剧情/喜剧/爱情, 中国香港, 粤语,89分钟,我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】
大佛普拉斯, ,No.204,2017,8.7,黄信尧,庄益增 / 陈竹昇 / 戴立忍 / 张少怀 / 陈以文 / 纳豆 / 丁国琳 / 李永丰 / 朱约信 / 雷婕熙 / 林美秀 / 小亮哥 / 游安顺 / 梁赫群 / 脱线 / 郑宇彤 / 鲁文学,剧情/喜剧, 中国台湾, 闽南语 / 汉语普通话,102分钟,“我们已经可以依靠科技进入外太空，却依然无法走进一个人内心的宇宙。” 忍俊不禁的小幽默，互相打趣的小人物，上演着一出出悲伤的人间喜剧。富人的世界永远是彩色的…
恋恋笔记本,The Notebook,No.195,2004,8.6,尼克·卡萨维蒂,瑞恩·高斯林 / 瑞秋·麦克亚当斯 / 吉娜·罗兰兹 / 詹姆斯·加纳 / 斯塔尔勒塔·杜波利斯 / 凯文·康诺利 / 希瑟·沃奎斯特 / 杰弗里·奈特 / 琼·艾伦 / 詹姆斯·麦斯登,剧情/爱情, 美国, 英语,123分钟,1.先入为主是王道。2.等人不要等過7年。
猫鼠游戏,Catch Me If You Can,No.45,2002,9.1,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯 / 马丁·辛 / 艾米·亚当斯 / 詹妮弗·加纳 / 伊丽莎白·班克斯 / 纳塔莉·贝伊 / 詹姆斯·布洛林 / 艾伦·旁派 / 南希·利内翰 / 布莱恩·豪威  / 弗兰克·约翰·休斯 / 克里斯·埃里斯,剧情/传记/犯罪, 美国 / 加拿大, 英语 / 法语,141 分钟,能让巨骗进FBI，这份惜才的胸襟才是一个民族强大的原因。
2001太空漫游,2001: A Space Odyssey,No.197,1968,8.9,斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / 威廉姆·西尔维斯特 / 丹尼尔·里希特 / 雷纳德·洛塞特 / 罗伯特·比提 / 肖恩·沙利文 / 艾德·毕肖普 / 格伦·贝克 / 艾伦·吉福德 / 安·吉利斯,科幻/惊悚/冒险, 英国 / 美国, 英语 / 俄语,149分钟,原作作者克拉克：“如果有人觉得完全弄懂了《太空漫游2001》在讲些什么，那一定是我和库布里克弄错了。”
完美陌生人,Perfetti sconosciuti,No.242,2016,8.5,保罗·杰诺维塞,马可·贾利尼 / 卡夏·斯穆特尼亚克 / 爱德华多·莱奥 / 阿尔芭·罗尔瓦赫尔 / 瓦莱里奥·马斯坦德雷亚 / 安娜·福列塔 / 朱塞佩·巴蒂斯通,剧情/喜剧, 意大利, 意大利语,97分钟,女主人这个婊啊，睡朋友老公还提议玩看手机的游戏，算准了自己最安全因为这个人不可能当面打给她吧……细思恐极
魔女宅急便,魔女の宅急便,No.196,1989,8.7,宫崎骏,高山南 / 佐久间玲 / 户田惠子 / 山口胜平 / 信泽三惠子 / 加藤治子 / 关弘子 / 三浦浩一 / 山寺宏一 / 井上喜久子 / 渊崎由里子 / 土井美加 / 土师孝也 / 浅井淑子 / 齐藤昌 / 西村知道 / 小林优子 / 池水通洋 / 辻亲八 / 大塚明夫 / 坂本千夏 / 田口昂 / 键本景子 / 津贺有子 / 龟井芳子 / 丸山裕子,动画/奇幻/冒险, 日本, 日语,103分钟,结尾仓促，情节简单
贫民窟的百万富翁,Slumdog Millionaire,No.180,2008,8.6,丹尼·博伊尔 / 洛芙琳·坦丹,戴夫·帕特尔 / 沙鲁巴·舒克拉 / 亚尼·卡普 / 拉詹德拉纳斯·祖特施 / 吉尼瓦·塔瓦尔 / 芙蕾达·平托 / 伊尔凡·可汗 / 爱资哈尔丁·穆罕默德·伊斯梅尔 / 阿什·马赫什·舍德卡 / 马赫什·曼杰瑞卡 / 麦活·米泰尔,剧情/爱情, 英国, 英语 / 印地语 / 法语 / 德语,120分钟,近年最弱金像影片。
搏击俱乐部,Fight Club,No.60,1999,9.0,大卫·芬奇,爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 扎克·格雷尼尔 / 米特·洛夫 / 杰瑞德·莱托 / 艾恩·贝利 / 里奇蒙德·阿奎特 / 乔治·马奎尔,剧情/动作/悬疑/惊悚, 美国 / 德国 / 意大利, 英语,139 分钟,我看这个的时候才知道，电影可以这么牛B，一直到现在，重看最多次的电影。
阿飞正传,阿飛正傳,No.234,1990,8.5,王家卫,张国荣 / 张曼玉 / 刘嘉玲 / 刘德华 / 张学友 / 潘迪华 / 梁朝伟,剧情/爱情/犯罪, 中国香港, 粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话,94分钟,"在张国荣面前
所有的大牌都黯然失色"
心灵捕手,Good Will Hunting,No.84,1997,8.9,格斯·范·桑特,马特·达蒙 / 罗宾·威廉姆斯 / 本·阿弗莱克 / 斯特兰·斯卡斯加德 / 明妮·德里弗 / 卡西·阿弗莱克 / 科尔·豪瑟 / 约翰·迈顿 / 丹·华盛顿 / 艾莉森·福兰德 / 维克·萨海 / 史蒂文·科兹洛夫斯基 / 斯科特·威廉姆·文特斯 / 吉米·弗林 / 乔治·普林普顿 / 弗朗切斯科·克莱门特,剧情, 美国, 英语,126 分钟,我每天到你家接你，我们出去喝酒笑闹，那很棒是我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。 
放牛班的春天,Les choristes,No.16,2004,9.3,克里斯托夫·巴拉蒂,热拉尔·朱尼奥 / 让-巴蒂斯特·莫尼耶 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 / 让-保罗·博奈雷 / 玛丽·布奈尔 / 马科森斯·珀林 / 格雷戈里·加迪诺尔 / 托马斯·布伦门塔尔 / 西里尔·伯尔尼科特 / 西蒙·法戈特 / 泰奥杜尔·卡雷-卡赛尼 / 菲利普·杜·詹纳兰德 / Carole Weiss / 埃里克·德斯玛莱茨 / 狄迪尔·弗拉蒙 / 雅克·贝汉,剧情/喜剧/音乐, 法国 / 瑞士 / 德国, 法语,97分钟,星期六，贝贝抱着小熊跟马修老师回家了！QwQ
忠犬八公的故事,Hachi: A Dog's Tale,No.10,2009,9.4,拉斯·霍尔斯道姆,理查·基尔 / 萨拉·罗默尔 / 琼·艾伦 / 罗比·萨布莱特 / 艾瑞克·阿瓦利 / 田川洋行 / 杰森·亚历山大 / 罗伯特·卡普荣,剧情, 美国 / 英国, 英语 / 日语,93分钟,这真是漫长的一生啊，八公。
荒蛮故事,Relatos salvajes,No.176,2014,8.8,达米安·斯兹弗隆,达里奥·格兰迪内蒂 / 玛丽娅·玛努尔 / 莫妮卡·比利亚 / 丽塔·科尔泰塞 / 胡丽叶塔·泽尔贝伯格 / 凯撒·博尔东 / 莱昂纳多·斯巴拉格利亚 / 沃尔特·多纳多 / 里卡多·达林 / 南希·杜普拉 / 奥斯卡·马丁内兹 / 玛莉亚·奥内托 / 奥斯马·努涅斯 / 赫尔曼·德·席尔瓦 / 艾丽卡·里瓦斯 / 地亚哥·詹蒂莱 / 玛格丽塔·莫菲诺,剧情/喜剧/犯罪, 阿根廷 / 西班牙, 西班牙语,122分钟,“跟你做的比起来，我那做的都不算什么” 魔性十足，荒诞满分。每个人都有过一闪而过的犯罪念头，这部片子把我们没敢做出来的那部分呈现出来，狠狠戳中我们的软肋。这个世界总是如此厌倦又可笑。“没人不希望恶有恶报，但又没人愿意脏了自己的手。”
西西里的美丽传说,Malèna,No.69,2000,8.9,朱塞佩·托纳多雷,莫妮卡·贝鲁奇 / 朱塞佩·苏尔法罗 / Luciano Federico / 玛蒂尔德·皮亚纳 / Pietro Notarianni / Gaetano Aronica / Gilberto Idonea / Angelo Pellegrino / Gabriella Di Luzio / Pippo Provvidenti / 埃丽萨·莫鲁奇 / 奥罗拉·夸特罗基 / 露琪亚·萨多 / 瓦尼·布拉马蒂 / Salvatore Martino / 安东内洛·普利西 / Noam Morgensztern,剧情/情色/战争, 意大利 / 美国, 意大利语 / 英语 / 拉丁语 / 古希腊语,109 分钟,有人深情的当做政治隐喻片来看，有人矫情的当做青春回忆片来看，也有人坦率的当做肉欲情色片来看。
一个叫欧维的男人决定去死,En man som heter Ove,No.143,2015,8.9,汉内斯·赫尔姆,罗夫·拉斯加德 / 巴哈·帕斯 / 托比亚斯·阿姆博瑞 / 菲利普·伯格 / 安娜-莱娜·布伦丁 / 博瑞·伦贝里 / 埃达·英格薇 / 弗雷德里克·埃弗斯 / 玛德琳·雅各布松 / 查特里娜·拉松 / 杰克尔·法尔斯特伦,剧情, 瑞典, 瑞典语 / 波斯语,116分钟,剧情其实特别套路，每一个步骤都似曾相识。欧维就像飞屋环游记中的卡尔，怀念着完美的故人的同时偏执和固执被邻居一点一点的磨平最终变亲近。淡淡的音乐伴随着平凡又不平凡的小人物的一生。最后一幕真的无法不想到泰坦尼克吧。
看不见的客人,Contratiempo,No.70,2016,8.8,奥里奥尔·保罗,马里奥·卡萨斯 / 阿娜·瓦格纳 / 何塞·科罗纳多 / 巴巴拉·莱涅 / 弗兰塞斯克·奥雷利亚 / 帕科·图斯 / 大卫·塞尔瓦斯 / 伊尼戈·加斯特西 / 圣·耶拉莫斯 / 马内尔·杜维索 / 布兰卡·马丁内斯 / 佩雷·布拉索 / 霍尔迪·布鲁内特 / 鲍比·冈萨雷斯 / 玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪, 西班牙, 西班牙语,106分钟,其实这种多重反转的电影很容易bug频出，但是这部完成度太高了，质感和小细节都相当漂亮。导演对后半程的解密把控地相当出色，直接让观感上升了一个level。西班牙的悬疑片总是给人惊喜。（猜到反转并不是多了不起的事，请不要在悬疑片短评区剧透好吗，靴靴。）
血战钢锯岭,Hacksaw Ridge,No.147,2016,8.7,梅尔·吉布森,安德鲁·加菲尔德 / 萨姆·沃辛顿 / 文斯·沃恩 / 雨果·维文 / 卢克·布雷西 / 泰莉莎·帕尔墨 / 瑞切尔·格里菲斯 / 内森奈尔·布佐里克 / 理查德·劳斯伯格 / 马特·纳夫莱 / 费拉斯·迪拉尼 / 瑞安·柯尔 / 卢克·佩格勒,剧情/传记/历史/战争, 澳大利亚 / 美国, 英语 / 日语,139分钟(中国大陆),特别老派的热血直男片，甚至觉得叙事目的性强烈到有些直白。然而，就是好看。前半部分就是压制观众情绪，后面的战争就是帮主角和观者释放，去证明主角。战争场面太硬了，血腥可怕，看到紧张，如炼狱一般。我认同他的那些信仰？胡开尔啊！真正让人激动的，还是见证普通人创造的奇迹，因为这是真的。
让子弹飞, ,No.51,2010,8.9,姜文,姜文 / 葛优 / 周润发 / 刘嘉玲 / 陈坤 / 张默 / 姜武 / 周韵 / 廖凡 / 姚橹 / 邵兵 / 苗圃 / 冯小刚 / 胡军 / 马珂 / 白冰 / 杜奕衡 / 李静 / 胡明 / 危笑 / 杨奇雨 / 赵铭,剧情/喜剧/动作/西部, 中国大陆 / 中国香港, 汉语普通话 / 四川话 / 山西话,132分钟,说姜文用力过猛的  那只能说明您受功不够 受用不起！
二十二, ,No.206,2015,8.7,郭柯,纪录片,纪录片, 中国大陆, 汉语普通话,99分钟(公映版),没资金，采访人数少，资料缺乏，能拍已经是勇气。这种题材，还想组织得多丰富多显眼？打分低的是多专业呀！！！一堆评分低的说些白痴都知道问题。还有一个说没准备好！准备好，老人都走了吧！无论如何，伤疤都在哪里，不是谁去揭不揭的问题。不然老人跟他们说谢谢，不跟你们这帮脑子进过期豆瓣的人说
钢琴家,The Pianist,No.50,2002,9.2,罗曼·波兰斯基,艾德里安·布洛迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯 / 米哈乌·热布罗夫斯基 / 埃德·斯托帕德 / 穆琳·利普曼 / 弗兰克·芬莱 / 茱莉亚·蕾娜 / 杰西卡·凯特·梅耶尔 / 理查德·赖丁斯,剧情/音乐/传记/战争, 英国 / 法国 / 波兰 / 德国, 英语 / 德语 / 俄语,150分钟,从此就喜欢上Adrien那张驴脸了
勇敢的心,Braveheart,No.100,1995,8.9,梅尔·吉布森,梅尔·吉布森 / 苏菲·玛索 / 布莱恩·考克斯 / 詹姆斯·科兹莫 / 辛·劳洛 / 凯瑟琳·麦克马克 / 安古斯·麦克菲登,剧情/动作/传记/历史/战争, 美国, 英语 / 法语 / 拉丁语 / 苏格兰盖尔语,178分钟,所有的人都会死，但并不是每一个人都活的有意义。
小萝莉的猴神大叔,Bajrangi Bhaijaan,No.247,2015,8.4,卡比尔·汗,萨尔曼·汗 / 哈莎莉·马洛特拉 / 卡琳娜·卡普尔 / 纳瓦祖丁·席迪圭 / 欧姆·普瑞 / 梅·维贾 / 席尔帕.舒克拉 / 拉杰什·沙玛 / 沙拉蒂·瑟斯纳 / 阿图·斯里瓦斯塔瓦 / 阿德南·萨米 / 马诺·巴克什,剧情/喜剧/动作, 印度, 印地语 / 乌尔都语,159分钟,不说了，洗脸去了
入殓师,おくりびと,No.105,2008,8.9,泷田洋二郎,本木雅弘 / 广末凉子 / 山崎努 / 吉行和子 / 笹野高史 / 余贵美子,剧情, 日本, 日语,130分钟,The gift of the last memories. “人一辈子买的最后一样东西(棺材)是由他人决定的。” “死可能是一道门，逝去并不是终结，而是超越，走向下一程。” “入殓师就是让已经冰冷的人重新焕发生机，给她永恒的美丽，这要有冷静、准确、而且要怀着温柔的情感。”
火星救援,The Martian,No.244,2015,8.5,雷德利·斯科特,马特·达蒙 / 杰西卡·查斯坦 / 克里斯汀·韦格 / 杰夫·丹尼尔斯 / 迈克尔·佩纳 / 凯特·玛拉 / 肖恩·宾 / 塞巴斯蒂安·斯坦 / 唐纳德·格洛弗 / 切瓦特·埃加福 / 阿卡塞尔·亨涅 / 陈数 / 高雄 / 本尼迪克特·王 / 麦肯兹·戴维斯 / 娜奥米·斯科特 / 丽丽·博尔丹 / 布莱恩·卡斯佩,剧情/科幻/冒险, 英国 / 美国 / 匈牙利 / 约旦, 英语 / 汉语普通话,144分钟,男主太喜剧，影院笑不停；和近几年的几部太空大片一比，简直是反类型片，地球上没女儿没儿子没未婚妻，铺位里没照片没童年回忆，连音乐都得听别人的；从这个意义上来说，这是一个真正的太空鲁宾逊故事，不仅是情节上复制了荒“星”求生，并且重现了鲁宾逊式的精神：无牵无挂的一个人，不管怎样得活下去
海蒂和爷爷,Heidi,No.59,2015,9.3,阿兰·葛斯彭纳,阿努克·斯特芬 / 布鲁诺·冈茨 / 昆林·艾格匹 / 安娜·申茨 / 伊莎贝尔·奥特曼 / 莉莲·奈福 / 彼得·杰克林 / 克里斯托夫·高格勒 / 丽贝卡·因德穆 / 莫妮卡·古布瑟 / 阿瑟·比勒 / 玛丽埃塔·耶米 / 彼得·洛迈尔 / 卡塔琳娜·舒特勒 / 杰拉·哈斯 / 迈克尔·克兰茨 / 劳拉·帕克 / 马库斯·赫林 / 马克西姆·梅米特 / 汉娜洛蕾·赫格,剧情/家庭/冒险, 德国 / 瑞士, 南非语 / 德语 / 瑞士德语,111分钟,难怪看到片名有种莫名的熟悉感，看正片后才知道这与高畑勲导演、宫崎骏担任场面设定的动画片《阿尔卑斯山的少女》改编自同小说《海蒂》，简直惊喜到不行。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影，会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。
杀人回忆,살인의 추억,No.91,2003,8.9,奉俊昊,宋康昊 / 金相庆 / 金雷夏 / 宋在浩 / 边希峰 / 高瑞熙 / 柳泰浩 / 朴努植 / 朴海日 / 全美善 / 徐永嬅 / 崔钟律 / 刘承睦 / 申贤宗 / 李在应 / 郑仁仙 / 吴龙 / 朴真宇 / 朴泰京 / 沈成宝,剧情/动作/悬疑/惊悚/犯罪, 韩国, 韩语 / 英语,132分钟,嗨凶手，你也在看这部片吗？送给你的，杀人回忆
功夫, ,No.98,2004,8.7,周星驰,周星驰 / 元秋 / 元华 / 黄圣依 / 梁小龙 / 陈国坤 / 田启文 / 林子聪 / 林雪 / 冯克安 / 释彦能 / 冯小刚 / 袁祥仁 / 张一白 / 赵志凌 / 董志华 / 何文辉 / 陈凯师 / 贾康熙 / 林子善 / 任珈锐 / 王仕颖,喜剧/动作/犯罪/奇幻, 中国大陆 / 中国香港, 粤语 / 汉语普通话 / 手语,100分钟(3D重映),十分纳闷这部电影不上9分
电锯惊魂,Saw,No.155,2004,8.8,温子仁,雷·沃纳尔 / 加利·艾尔维斯 / 丹尼·格洛弗 / 肯·梁 / 迪娜·迈耶 / 迈克·巴特斯 / 保罗·古德勒支 / 迈克尔·爱默生 / 本尼托·马丁内斯 / 肖妮·史密斯 / 麦肯兹·韦加 / 莫妮卡·波特 / 耐德·巴拉米 / 亚丽姗德拉·全 / 托宾·贝尔,悬疑/惊悚/恐怖, 美国, 英语,103分钟,有些疑问。医生为什么不用电锯把手机勾回来。。。而是选择锯腿。。。他老婆一直在打电话，但是为什么后来密室里的电话不再响了？
我是山姆,I Am Sam,No.150,2001,9.0,杰茜·尼尔森,西恩·潘 / 达科塔·范宁 / 米歇尔·菲佛 / 黛安·韦斯特 / 洛雷塔·迪瓦恩 / 理查德·希夫 / 劳拉·邓恩,剧情/家庭, 美国, 英语,132 分钟,真正的戏眼是达科塔·范宁。她才是催泪的原动力
战争之王,Lord of War,No.227,2005,8.7,安德鲁·尼科尔,尼古拉斯·凯奇 / 布丽姬·穆娜 / 杰瑞德·莱托 / 伊安·霍姆 / 伊桑·霍克 / 埃夫吉恩尼·拉扎雷夫 / 伊默恩·沃克 / 塔尼特·菲尼克斯,剧情/犯罪, 法国 / 德国 / 美国, 英语 / 乌克兰语 / 德语 / 西班牙语 / 俄语 / 法语 / 阿拉伯语 / 土耳其语,122 分钟,从影帝蜕变到烂片王也是需要一定的气度，就如同影片最后他被家人抛弃被抓到监狱却十分镇定一样。这片子政治隐喻很多。
英雄本色, ,No.167,1986,8.6,吴宇森,周润发 / 狄龙 / 张国荣 / 朱宝意 / 李子雄 / 田丰 / 吴宇森 / 曾江 / 成奎安 / 徐克 / 陈志辉,剧情/动作/犯罪, 中国香港, 粤语 / 汉语普通话 / 英语,95分钟,能够把握住自己命运的人，就是神
剪刀手爱德华,Edward Scissorhands,No.96,1990,8.7,蒂姆·波顿,约翰尼·德普 / 薇诺娜·瑞德 / 黛安·韦斯特 / 安东尼·迈克尔·豪尔 / 凯西·贝克 / 罗伯特·奥利维里 / 康查塔·费雷尔 / 卡罗琳·阿隆 / 迪克·安东尼·威廉姆斯 / 澳澜·琼斯 / 文森特·普莱斯 / 艾伦·阿金 / 苏珊·布洛马特 / 约翰·戴维森 / 布莱恩·拉肯 / Victoria Price / Stuart Lancaster / Gina Gallagher / 阿隆·鲁斯汀 / 阿兰·弗吉 / 史蒂文·布里尔 / Peter Palmer / 马克·麦考利 / 唐娜·派洛尼 / Ken DeVaul / Kathy Dombo / Tabetha Thomas / 尼克·卡特,剧情/爱情/奇幻, 美国, 英语,105分钟,有时候卑劣的人性才是剪刀。
牯岭街少年杀人事件,牯嶺街少年殺人事件,No.208,1991,8.9,杨德昌,张震 / 杨静怡 / 张国柱 / 王启赞 / 林鸿铭 / 金燕玲 / 王琄 / 张翰 / 姜秀琼 / 赖梵耘 / 柯宇纶 / 谭志刚 / 冯国强 / 陈湘琪 / 金士杰,剧情/犯罪, 中国台湾, 汉语普通话 / 闽南语 / 上海话 / 粤语,237分钟(导演剪辑版),那一霎那我什么也没做，只是捅了你一刀。“原来你跟他们一样，对我好就是想改变我。你好可笑啊，你以为你是谁啊？我和这个世界一样是不可改变的…”
7号房的礼物,7번방의 선물,No.99,2013,8.9,李焕庆,柳承龙 / 朴信惠 / 郑镇荣 / 金正泰 / 吴达洙 / 朴元尚 / 郑满植 / 葛素媛,剧情/喜剧/家庭, 韩国, 韩语,127分钟,"我们目击的事实，往往只是浮出水面的冰凌，冰山下面的巨大事实，更排山倒海穿透视听。
我们直面的人生舞台，也许只是化蝶幻影，层层垂帘般幕后的故事，更震撼世道人心。"
恐怖直播,더 테러 라이브,No.142,2013,8.7,金秉祐,河正宇 / 李璟荣 / 全慧珍 / 李大卫 / 金弘波 / 崔正贤 / 崔代勋 / 姜信哲 / 韩成天 / 孙成灿 / 金素真 / 金大明 / 金海仁,剧情/悬疑/犯罪, 韩国, 韩语,97分钟,小人物，大成功。低成本，高票房。热电影，冷导演。旧模式，新包装。雅追求，俗定位。内棚衬，外景托。熟表演，生情境。远特效，近手持。慢推入，快剪辑。有利益，无朋友。左警察，右悍匪。正势力，恶交锋。假道德，真和谐。恩未报，怨已结。问有主，答无解。单兵战，双人桥。哭邻国，笑天朝。
星际穿越,Interstellar,No.11,2014,9.4,克里斯托弗·诺兰,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦 / 麦肯吉·弗依 / 卡西·阿弗莱克 / 迈克尔·凯恩 / 马特·达蒙 / 蒂莫西·柴勒梅德 / 艾伦·伯斯汀 / 约翰·利思戈 / 韦斯·本特利 / 大卫·吉亚西 / 比尔·欧文 / 托弗·戈瑞斯 / 科莱特·沃夫 / 弗朗西斯·X.麦卡蒂 / 安德鲁·博尔巴 / 乔什·斯图沃特 / 莱雅·卡里恩斯 / 利亚姆·迪金森 / 杰夫·赫普内尔 / 伊莱耶斯·加贝尔 / 布鲁克·史密斯 / 大卫·奥伊罗 / 威廉姆·德瓦内 / 拉什·费加 / 格里芬·弗雷泽 / 弗洛拉·诺兰,剧情/科幻/冒险, 美国 / 英国 / 加拿大, 英语,169分钟,太壮阔了，无以言表！40'渐入佳境，80'叹为观止，120'泪流满面，160'恍如隔世…不曾如此贴近浩瀚星空，被它环抱；不曾如此触摸生命之弦，遁入五维幻境。瑕不掩瑜的科幻神作，刷新视觉的IMAX体验，观影前撒好尿，准备接受近三小时的泪腺洗礼。“爱是一种力量，让我们超越时空感知它的存在”-发自豆瓣App
飞越疯人院,One Flew Over the Cuckoo's Nest,No.71,1975,9.1,米洛斯·福尔曼,杰克·尼科尔森 / 丹尼·德维托 / 克里斯托弗·洛伊德 / 路易丝·弗莱彻 / 威尔·萨姆森 / 特德·马克兰德 / 布拉德·道里夫 / 斯加特曼·克罗索斯 / 迈克尔·贝里曼 / 彼得·布罗科 / 穆瓦科·卡姆布卡 / 威廉·达尔 / 乔西普·艾利克 / 西德尼·拉斯克 / 凯·李 / 德怀特·马费尔德 / 路易莎·莫里茨 / 威廉·雷德菲尔德 / 菲利普·罗斯 / 米米·萨奇席恩 / 文森特·斯卡维利 / 米斯·斯马尔 / 德罗斯·V·史密斯,剧情, 美国, 英语,133分钟,无论是现在还是在将来，疯人院和护士长化妆成各种形状潜伏在我们周围，飞越疯人院就永远有意义
被嫌弃的松子的一生,嫌われ松子の一生,No.92,2006,8.9,中岛哲也,中谷美纪 / 永山瑛太 / 香川照之 / 市川实日子 / 伊势谷友介 / 柄本明 / 黑泽明日香 / 荒川良良 / 柴崎幸 / 土屋安娜 / 奥之矢佳奈 / 谷原章介 / 武田真治 / 片平渚 / 宫藤官九郎 / 角野卓造 / 田中要次 / 木村凯拉 / 谷中敦 / 剧团一人,剧情/歌舞, 日本, 日语,130 分钟,她不明白人生失败的根源就是全身心地投入舍弃自尊来博得并不值得拥有的所谓爱
致命ID,Identity,No.90,2003,8.8,詹姆斯·曼高德,约翰·库萨克 / 雷·利奥塔 / 阿曼达·皮特 / 约翰·浩克斯 / 阿尔弗雷德·莫里纳 / 克里·杜瓦尔 / 约翰·C·麦金雷 / 威廉姆·李·斯科特 / 杰克·布塞 / 普路特·泰勒·文斯 / 瑞贝卡·德·莫妮 / 卡门·阿尔根齐亚诺 / 马绍尔·贝尔 / 莱拉·肯泽尔 / 马特·莱斯切尔 / 布莱特·罗尔 / 霍尔姆斯·奥斯本 / 弗雷德里克·科芬 / 乔·哈特 / 迈克尔·赫希 / 泰伦斯·伯尼·海恩斯,剧情/悬疑/惊悚, 美国, 英语,90分钟,对阿婆的《无人生还》的一个相当有才的致敬。
阳光灿烂的日子, ,No.111,1994,8.8,姜文,夏雨 / 宁静 / 陶虹 / 耿乐 / 斯琴高娃 / 冯小刚 / 刘小宁 / 姜文 / 王学圻 / 王朔 / 尚楠 / 方化 / 代少波 / 王海 / 姚二嘎 / 吴淑昆 / 左小青 / 韩冬 / 孙靖 / 刘斌 / 张维 / 杨彤林 / 王海 / 王福 / 胡贝贝 / 高保成 / 吴淑琨 / 张华 / 二勇 / 烈子 / 陈伟,剧情/爱情, 中国大陆 / 中国香港, 汉语普通话,134分钟(中国大陆),“我的故事总是发生在夏天。炎热的气候使人们裸露得更多，也更能掩饰心中的欲望。那时侯，好像永远是夏天，太阳总是有空出来伴随着我，阳光充足，太亮，使得眼前一阵阵发黑”——电影《阳光灿烂的日子》开场对白
穿越时空的少女,時をかける少女,No.235,2006,8.6,细田守,仲里依纱 / 石田卓也 / 板仓光隆 / 垣内彩未 / 谷村美月 / 关户优希 / 桂歌若 / 安藤绿 / 立木文彦 / 山本圭子 / 反田孝幸 / 谷川清美 / 汤屋敦子 / 松田洋治 / 中村正 / 原沙知绘,剧情/爱情/科幻/动画, 日本, 日语,98分钟,年轻真好，可以为了各种小事情去穿越时空。
遗愿清单,The Bucket List,No.202,2007,8.7,罗伯·莱纳,杰克·尼科尔森 / 摩根·弗里曼 / 西恩·海耶斯 / 贝弗利·陶德 / 罗伯·莫洛 / 阿方索·弗里曼 / 罗文娜·金 / 韦尔达·布里奇斯 / 伊恩·安东尼·代尔 / 詹妮弗·迪弗朗西斯科 / 安吉拉·加德纳 / 诺尔·古格雷米 / 乔纳森·赫尔南德斯 / 休·B·赫鲁伯 / 理查德·麦克格纳格尔 / 丸山凯伦 / 安波米德 / 尼基·诺瓦克 / 克里斯托弗·斯塔普勒顿 / 泰勒.安.汤普森 / 亚历克斯·崔贝克 / Annton Berry Jr. / Destiny Brownridge / Brian Copeland / 乔丹·朗德 / Jonathan Mangum / Serena Reeder / MaShae Alderman / Vin Scully,剧情/喜剧/冒险, 美国, 英语,97 分钟,前提是：你也得有钱才行啊！
